Ticker,Win_Prob,Price,MA_Conv,Vol_Z,Breakout,MA20_Slope,MA20_DP,Ov_Supply,POC_Dist,ATR_Pct,Resonance_Score
PHIN,0.667561304484681,73.16000366210938,9.645063738070355,-0.6972073212302147,3.9983013442904767,1.5391955321520354,16.626820015651717,15.457947510396306,21.389378472702024,3.344332977437957,29.7972654408298
VAC,0.5770727148655741,74.9800033569336,14.676264871805305,-0.19898733500428914,9.6503449345425,0.3190861726198628,10.427101136738557,0.0,33.16574324946123,4.264947785833837,29.761904761904763
CIFR,0.607810582347698,19.3700008392334,8.993838807707448,0.09405868351025791,16.653957788524437,3.502276054048052,38.25839059530672,18.06431560739832,-14.894549013218693,7.4341765350044735,29.646393210749643
PZZA,0.5189023982168733,37.459999084472656,10.81227995038231,-0.14494051456839965,-0.0467252147268806,1.1311581829272033,8.863700233934448,51.982359818709114,-11.678728651557886,3.937532665037305,29.63696369636964
AGIO,0.6276772545616764,35.13999938964844,8.011493028060194,-0.3194783981591369,8.691615740272935,3.1177735747957747,26.13064831136665,8.675884453610628,57.29632564485375,4.691437618889436,29.56152758132956
RELL,0.6238908794331389,13.649999618530273,7.454776128699893,-0.10615019349717408,12.234826589747469,2.9392941160714163,24.99999563107001,16.827845545683616,-5.405410049171527,6.263735580428961,29.434229137199434
CNC,0.6013778453597959,38.16999816894531,11.480630487982827,-0.473915265279525,-2.9255477379566197,1.1615898630646744,10.959292080614208,45.909702071836506,2.2228120325212957,3.194357243110916,29.358793022159357
SG,0.6222934680696757,6.869999885559082,11.593182060117783,0.22199768183538843,9.804338161924738,3.1680443642426344,30.113629020240307,22.530027847840152,18.85812519024619,6.159284555062735,29.339933993399335
ADCT,0.6700048727485207,4.28000020980835,4.400154063193616,-0.4118024231329324,5.429111101343075,1.1313392442902934,10.88083746161059,14.38235771630402,8.354434381199614,6.064752811751496,29.292786421499294
NGVT,0.5027820599476089,75.19999694824219,13.613501532054645,-1.0441442672427426,4.578795074056723,1.715113676969057,18.201820513347723,3.911068709142155,18.201820513347723,3.0214657313932984,29.170202734559176
AEM,0.6016793659293903,220.10000610351562,11.180888886369202,-0.524543408461912,2.836924418216552,1.4668622350124116,22.871657513366973,13.202505846650661,22.871657513366973,3.5016562822325445,29.04290429042904
DDS,0.5994454993723148,605.77001953125,6.414812877455765,-1.158426659507187,-2.0632648416974044,0.3379516700510587,2.5545601527921056,62.14542262945925,-4.760325534657582,3.246047319222471,29.009900990099013
SN,0.645647069408105,119.5999984741211,4.8058109492883,-0.5096805342033573,4.862239815799597,1.8784285934142517,21.97857700296844,20.743345302593138,21.97857700296844,4.965361208776789,28.991041961338993
BNTC,0.5957627487282326,14.079999923706055,8.465393660683548,-0.2356894735903131,14.03233393649107,2.7852529646417215,28.23315583268238,4.372985795821712,17.33333269610601,5.483971333649096,28.976897689768975
TITN,0.5981338498690826,20.350000381469727,6.588549310517186,-0.7850051884030154,11.857440278602652,3.792147330502508,36.76075419752592,3.0211561905361695,20.1298685933041,4.1277644654649865,28.976897689768975
NPCE,0.6520867640778348,16.190000534057617,3.354837834599013,-0.9043389330020223,9.845254687783832,2.4314033510336164,24.538465644709483,28.157525888482127,24.73036290277814,4.451160491087812,28.943894389438945
XPEL,0.6992771439437494,47.33000183105469,6.019960680888731,-0.42842281888991296,2.2691709789676815,3.1535419730483683,22.173463552379797,38.88177782619353,22.173463552379797,4.342156627634116,28.755304101838753
PCVX,0.6004509693835394,62.349998474121094,13.626812973325494,-0.3423793573525784,6.422016436995347,1.84790848389127,13.943708119640444,1.9571916432061167,16.389768208233306,3.8853241054104237,28.66572371522867
KZIA,0.5908844321661576,11.100000381469727,9.456026613723205,-0.024298603001810457,32.79895092124644,5.736875472026575,48.395726640127414,5.207483265555069,43.410861876964226,9.73616447520826,28.543140028288544
ENR,0.5567139530441416,20.479999542236328,13.26122304562527,-0.2898671715963543,2.3408496867769304,2.3370981050576374,22.561344488888906,37.85538321515827,8.553933291166597,3.480397774798906,28.42998585572843
GOOS,0.5012321477759952,11.930000305175781,12.765586245508482,-0.25484486096515524,-3.871073708764465,1.0513267582401413,10.667909096329325,73.39196003648513,12.018786219468083,3.3828269468636574,28.42055634134842
NXE,0.6056311400483423,12.6899995803833,11.607066346573355,-0.19694297381892503,6.139173438215296,1.1040593772603124,12.699816361517707,8.634451721061286,12.699816361517707,4.638073821308482,28.3969825553984
GIL,0.5253730503149722,59.880001068115234,10.571712255673205,-0.5593558658941837,-4.268376397240859,0.08220021558957075,6.947667928138348,49.94172089056968,4.403026767810281,3.2076051025024226,28.349834983498358
DNLI,0.7331991566751016,20.56999969482422,7.302239077108454,-0.26272193992057935,1.5616879356780866,0.614246111722667,1.9831413832296738,26.11526755386489,17.074559202826826,5.038544497587223,28.279113625648282
SSTK,0.5606851271346165,17.690000534057617,10.043034369499745,-0.631436077644957,-3.680337304731476,0.8050091637270927,6.182477166971156,54.3495142280281,-26.60287671919293,3.1615931497490437,28.09523809523809
