Date,Bullish,Neutral,Bearish,Spread,Spread_MA20,SP500_Price_x,SP500_Price_y,SP500_Price
2018-04-19,37.7834,32.9975,29.2191,8.564300000000003,14.06398,2693.1298828125,2693.1298828125,2693.1298828125
2018-04-26,36.9085,37.5394,25.5521,11.356399999999995,14.498909999999999,2666.93994140625,2666.93994140625,2666.93994140625
2018-05-03,28.3951,41.358,30.2469,-1.8518000000000008,13.56257,2629.72998046875,2629.72998046875,2629.72998046875
2018-05-10,33.510600000000004,40.9574,25.5319,7.9787000000000035,12.717725,2723.070068359375,2723.070068359375,2723.070068359375
2018-05-17,36.6755,42.7441,20.5805,16.095000000000002,11.921945000000001,2720.1298828125,2720.1298828125,2720.1298828125
2018-05-24,38.5621,36.2745,25.163400000000003,13.398699999999998,10.382005,2727.760009765625,2727.760009765625,2727.760009765625
2018-05-31,35.018100000000004,38.6282,26.3538,8.664300000000004,9.635275,2705.27001953125,2705.27001953125,2705.27001953125
2018-06-07,38.9313,34.3511,26.7176,12.2137,8.609765000000001,2770.3701171875,2770.3701171875,2770.3701171875
2018-06-14,44.7802,33.5165,21.7033,23.0769,8.692185,2782.489990234375,2782.489990234375,2782.489990234375
2018-06-21,38.7187,35.0975,26.1838,12.534899999999997,8.51828,2749.760009765625,2749.760009765625,2749.760009765625
2018-06-28,28.4483,30.7471,40.8046,-12.3563,7.79971,2716.31005859375,2716.31005859375,2716.31005859375
2018-07-05,27.855200000000004,32.8691,39.2758,-11.420599999999991,5.873325,2736.610107421875,2736.610107421875,2736.610107421875
2018-07-12,43.0508,27.7966,29.1525,13.898300000000006,5.475215,2798.2900390625,2798.2900390625,2798.2900390625
2018-07-19,34.6633,40.399,24.9377,9.7256,5.267855000000001,2804.489990234375,2804.489990234375,2804.489990234375
2018-07-26,31.521700000000003,41.5761,26.9022,4.619500000000006,5.597840000000001,2837.43994140625,2837.43994140625,2837.43994140625
2018-08-02,29.1105,38.814,32.0755,-2.9649999999999963,4.673965000000001,2827.219970703125,2827.219970703125,2827.219970703125
2018-08-09,36.3636,32.6019,31.0345,5.3291,4.703030000000002,2853.580078125,2853.580078125,2853.580078125
2018-08-16,36.1702,34.7518,29.078,7.092200000000002,5.227300000000001,2840.68994140625,2840.68994140625,2840.68994140625
2018-08-23,38.4615,34.4729,27.0655,11.396000000000004,6.034165000000002,2856.97998046875,2856.97998046875,2856.97998046875
2018-08-30,43.4959,32.1138,24.3902,19.1057,7.822780000000003,2901.1298828125,2901.1298828125,2901.1298828125
2018-09-06,42.2222,31.4815,26.2963,15.925900000000002,8.190860000000002,2878.050048828125,2878.050048828125,2878.050048828125
2018-09-13,32.089600000000004,35.074600000000004,32.8358,-0.7461999999999946,7.5857300000000025,2904.179931640625,2904.179931640625,2904.179931640625
2018-09-20,32.042300000000004,35.9155,32.042300000000004,0.0,7.678320000000002,2930.75,2930.75,2930.75
2018-09-27,36.2205,32.6772,31.102400000000003,5.118099999999998,7.535290000000002,2914.0,2914.0,2914.0
2018-10-04,45.6621,29.2237,25.1142,20.54790000000001,7.757935000000002,2901.610107421875,2901.610107421875,2901.610107421875
2018-10-11,30.6061,33.9394,35.4545,-4.848400000000002,6.845580000000003,2728.3701171875,2728.3701171875,2728.3701171875
2018-10-18,33.934999999999995,31.0469,35.018100000000004,-1.0831000000000088,6.358210000000002,2768.780029296875,2768.780029296875,2768.780029296875
2018-10-25,27.969300000000004,31.0345,40.9962,-13.026899999999998,5.096180000000002,2705.570068359375,2705.570068359375,2705.570068359375
